,Date,Team,Acquired,Relinquished,Notes
5176,2004-03-29,Hawks,,Wesley Person,groin injury (DNP)
5177,2004-03-29,Heat,,Lamar Odom,bruised right knee (DNP)
5178,2004-03-29,Knicks,,Allan Houston,bruised left quadriceps (DNP)
5179,2004-03-29,Knicks,,Anfernee Hardaway,groin injury (DNP)
5180,2004-03-29,Nets,,Kenyon Martin Sr.,left knee tendinitis (DNP)
5181,2004-03-29,Pistons,,Zeljko Rebraca,sore lower back (DNP)
5182,2004-03-29,Suns,,Howard Eisley,hernia (DNP)
5183,2004-03-29,Suns,,Jahidi White,right knee injury (DNP)
5184,2004-03-29,Suns,,Jake Voskuhl,plantar fasciaitis in left foot (DNP)
5185,2004-03-29,Wizards,,Juan Dixon,sprained right ankle (DNP)
5186,2004-03-30,76ers,,Allen Iverson,sore right knee (out for season)
5187,2004-03-30,76ers,,Allen Iverson,right knee injury (DNP)
5188,2004-03-30,76ers,,Marc Jackson,stress fracture in left foot (DNP)
5189,2004-03-30,76ers,,Zendon Hamilton,ankle injury (DNP)
5190,2004-03-30,Bucks,,Keith Van Horn,sprained left ankle (DNP)
5191,2004-03-30,Hornets,,Baron Davis,sprained left ankle (DNP)
5192,2004-03-30,Nuggets,,Voshon Lenard,bruised left ribcage (DNP)
5193,2004-03-30,Pacers,,Jamaal Tinsley,flu (DNP)
5194,2004-03-31,Bucks,,Keith Van Horn,sprained left ankle (DNP)
5195,2004-03-31,Bulls,,Jerome Williams,sprained left ankle (DNP)
5196,2004-03-31,Bulls,,Kendall Gill,migraine headache (DNP)
5197,2004-03-31,Bulls,,Kirk Hinrich,food poisoning (DNP)
5198,2004-03-31,Bulls,,Tyson Chandler,sore lower back (DNP)
5199,2004-03-31,Clippers,,Bobby Simmons,sprained left hip (DNP)
5200,2004-03-31,Clippers,,Chris Wilcox,strained left Achilles tendon (DNP)
5201,2004-03-31,Hawks,,Wesley Person,right hip flexor injury (DNP)
5202,2004-03-31,Heat,,Malik Allen,sprained left knee (DNP)
5203,2004-03-31,Hornets,,Baron Davis,sprained left ankle (DNP)
5204,2004-03-31,Kings,,Brad Miller,right elbow injury (DTD)
5205,2004-03-31,Pacers,,Jamaal Tinsley,flu (DNP)
5206,2004-03-31,Pistons,,Rasheed Wallace,sore lower back (DNP)
5207,2004-03-31,Pistons,,Zeljko Rebraca,lower back spasms (DNP)
5208,2004-03-31,Raptors,,Corie Blount,tonsillitis (DNP)
5209,2004-03-31,Wizards,,Juan Dixon,sprained right ankle (DNP)
5210,2004-03-31,Wizards,,Kwame Brown,sprained left ankle (DNP)
5211,2004-04-01,76ers,,Allen Iverson,right knee injury (DNP)
5212,2004-04-01,76ers,,Marc Jackson,stress fracture in left foot (DNP)
5213,2004-04-01,Kings,,Brad Miller,right elbow bursitis (DNP)
5214,2004-04-01,Mavericks,,Scott Williams,sore right knee (DNP)
5215,2004-04-02,Bulls,,Jerome Williams,sprained left ankle (DNP)
5216,2004-04-02,Bulls,,Kendall Gill,migraine headache (DNP)
5217,2004-04-02,Bulls,,Tyson Chandler,sore lower back (DNP)
5218,2004-04-02,Clippers,,Bobby Simmons,sprained left hip (DNP)
5219,2004-04-02,Clippers,,Chris Wilcox,strained left Achilles tendon (DNP)
5220,2004-04-02,Nets,,Kenyon Martin Sr.,left knee tendinitis (DNP)
5221,2004-04-02,Nuggets,,Voshon Lenard,bruised left ribcage (DNP)
5222,2004-04-02,Pacers,,Jamaal Tinsley,flu-like symptoms (DNP)
5223,2004-04-02,Suns,,Howard Eisley,surgery to repair hernia (out for season)
5224,2004-04-02,Suns,,Howard Eisley,recovering from surgery to repair hernia (DNP)
5225,2004-04-02,Suns,,Jahidi White,bone bruise in right knee (DNP)
5226,2004-04-02,Suns,,Jake Voskuhl,left foot injury (DNP)
5227,2004-04-02,Warriors,,Erick Dampier,sprained left ankle (DNP)
5228,2004-04-02,Wizards,,Kwame Brown,sprained left ankle (DNP)
5229,2004-04-02,Wizards,,Larry Hughes,sore Achilles tendon (DNP)
5230,2004-04-03,76ers,,Allen Iverson,right knee injury (DNP)
5231,2004-04-03,76ers,,Marc Jackson,stress fracture in left foot (DNP)
5232,2004-04-03,Bulls,,Jerome Williams,sprained left ankle (DNP)
5233,2004-04-03,Bulls,,Kendall Gill,migraine headache (DNP)
5234,2004-04-03,Bulls,,Tyson Chandler,sore lower back (DNP)
5235,2004-04-03,Hornets,,Baron Davis,sprained left ankle (DNP)
5236,2004-04-03,Suns,,Howard Eisley,recovering from surgery to repair hernia (DNP)
5237,2004-04-03,Suns,,Jahidi White,bone bruise in right knee (DNP)
5238,2004-04-03,Suns,,Jake Voskuhl,left foot injury (DNP)
5239,2004-04-03,Warriors,,Avery Johnson,strained right hamstring (DNP)
5240,2004-04-03,Warriors,,Erick Dampier,sprained left ankle (DNP)
5241,2004-04-04,Clippers,,Bobby Simmons,sprained left hip (DNP)
5242,2004-04-04,Clippers,,Chris Wilcox,strained left Achilles tendon (DNP)
5243,2004-04-04,Hawks,,Wesley Person,right hip flexor injury (DNP)
5244,2004-04-04,Hornets,,Baron Davis,sprained left ankle (DNP)
5245,2004-04-04,Kings,,Brad Miller,right elbow bursitis (DNP)
5246,2004-04-04,Nets,,Kenyon Martin Sr.,left knee tendinitis (DNP)
5247,2004-04-04,Pacers,,Jamaal Tinsley,flu (DNP)
5248,2004-04-04,Pistons,,Zeljko Rebraca,sore lower back (DNP)
5249,2004-04-05,Warriors,,Erick Dampier,placed on IL with sprained left ankle
5250,2004-04-06,76ers,,Allen Iverson,right knee injury (DNP)
5251,2004-04-06,76ers,,Marc Jackson,stress fracture in left foot (DNP)
5252,2004-04-06,Hawks,,Jacque Vaughn,strained left hamstring (DNP)
5253,2004-04-06,Hornets,,Baron Davis,sprained left ankle (DNP)
5254,2004-04-06,Hornets,,David Wesley,right toe injury (DNP)
5255,2004-04-06,Magic,,Steven Hunter,left eye infection (DNP)
5256,2004-04-06,Pistons,,Zeljko Rebraca,sore lower back (DNP)
5257,2004-04-06,Warriors,,Avery Johnson,strained right hamstring (DNP)
5258,2004-04-07,Bulls,,Tyson Chandler,sore lower back (DNP)
5259,2004-04-07,Clippers,,Bobby Simmons,sprained left hip (DNP)
5260,2004-04-07,Clippers,,Chris Wilcox,strained left Achilles tendon (DNP)
5261,2004-04-07,Grizzlies,,Bonzi Wells,sore back (DNP)
5262,2004-04-07,Grizzlies,,Pau Gasol,strained right arch (DNP)
5263,2004-04-07,Sonics,,Rashard Lewis,hip and knee injury (DNP)
5264,2004-04-07,Suns,,Howard Eisley,recovering from surgery to repair hernia (DNP)
5265,2004-04-07,Suns,,Jahidi White,bone bruise in right knee (DNP)
5266,2004-04-07,Suns,,Jake Voskuhl,plantar fasciaitis in left foot (DNP)
5267,2004-04-07,Suns,,Shawn Marion,viral bronchitis (DNP)
5268,2004-04-08,Magic,,Steven Hunter,left eye infection (DNP)
5269,2004-04-09,76ers,,Allen Iverson,right knee injury (DNP)
5270,2004-04-09,76ers,,Marc Jackson,stress fracture in left foot (DNP)
5271,2004-04-09,Bulls,,Marcus Fizer,viral illness (DNP)
5272,2004-04-09,Bulls,,Tyson Chandler,eye surgery (DNP)
5273,2004-04-09,Cavaliers,,Jeff McInnis,sprained left ankle (DNP)
5274,2004-04-09,Grizzlies,,Bonzi Wells,sore lower back (DNP)
5275,2004-04-09,Grizzlies,,Pau Gasol,strained right arch (DNP)
5276,2004-04-09,Hawks,,Jacque Vaughn,strained left hamstring (DNP)
5277,2004-04-09,Hornets,,Baron Davis,sprained left ankle (DNP)
5278,2004-04-09,Kings,,Bobby Jackson,strained abdominal (DNP)
5279,2004-04-09,Nets,,Jason Kidd,bone bruise in left knee (DNP)
5280,2004-04-09,Nets,,Kenyon Martin Sr.,left knee tendinitis (DNP)
5281,2004-04-09,Pistons,,Chauncey Billups,sprained left ankle (DNP)
5282,2004-04-09,Pistons,,Zeljko Rebraca,sore lower back (DNP)
5283,2004-04-09,Suns,,Howard Eisley,recovering from surgery to repair hernia (DNP)
5284,2004-04-09,Suns,,Jahidi White,bone bruise in right knee (DNP)
5285,2004-04-09,Suns,,Jake Voskuhl,plantar fasciaitis in left foot (DNP)
5286,2004-04-09,Warriors,,Avery Johnson,strained right hamstring (DNP)
5287,2004-04-09,Wizards,,Kwame Brown,sore left foot (DNP)
5288,2004-04-10,Hawks,,Jacque Vaughn,strained left hamstring (DNP)
5289,2004-04-10,Hawks,,Wesley Person,strained right hip flexor (DNP)
5290,2004-04-10,Hornets,,Baron Davis,sprained left ankle (DNP)
5291,2004-04-10,Hornets,,Darrell Armstrong,sprained right ankle (DNP)
5292,2004-04-10,Knicks,,Anfernee Hardaway,stomach virus (DNP)
5293,2004-04-10,Mavericks,,Michael Finley,bruised ribs (DNP)
5294,2004-04-10,Pistons,,Chauncey Billups,sprained left ankle (DNP)
5295,2004-04-10,Pistons,,Zeljko Rebraca,sore lower back (DNP)
5296,2004-04-10,Wizards,,Jerry Stackhouse,sore right ankle (DNP)
5297,2004-04-10,Wizards,,Kwame Brown,sore left foot (DNP)
5298,2004-04-11,76ers,,Allen Iverson,right knee injury (DNP)
5299,2004-04-11,76ers,,Marc Jackson,stress fracture in left foot (DNP)
5300,2004-04-11,Bulls,,Jerome Williams,right hamstring injury (DNP)
5301,2004-04-11,Bulls,,Tyson Chandler,sore lower back (DNP)
5302,2004-04-11,Clippers,,Corey Maggette,strained right hamstring (DNP)
5303,2004-04-11,Grizzlies,,Bonzi Wells,back spasms (DNP)
5304,2004-04-11,Grizzlies,,Pau Gasol,sore right foot (DNP)
5305,2004-04-11,Kings,,Bobby Jackson,strained abdominal (DNP)
5306,2004-04-11,Lakers,,Rick Fox,dislocated right thumb (DNP)
5307,2004-04-11,Mavericks,,Michael Finley,bruised ribs (DNP)
5308,2004-04-11,Raptors,,Milt Palacio,left knee injury (DNP)
5309,2004-04-11,Suns,,Howard Eisley,recovering from surgery to repair hernia (DNP)
5310,2004-04-11,Suns,,Jahidi White,bone bruise in right knee (DNP)
5311,2004-04-11,Suns,,Jake Voskuhl,plantar fasciaitis in left foot (DNP)
5312,2004-04-11,Warriors,,Avery Johnson,strained right hamstring (DNP)
5313,2004-04-12,76ers,,Allen Iverson,right knee injury (DNP)
5314,2004-04-12,76ers,,Marc Jackson,stress fracture in left foot (DNP)
5315,2004-04-12,Bulls,,Jerome Williams,right hamstring injury (DNP)
5316,2004-04-12,Bulls,,Tyson Chandler,sore lower back (DNP)
5317,2004-04-12,Celtics,,Paul Pierce,sprained right ankle (DNP)
5318,2004-04-12,Hawks,,Jacque Vaughn,strained left hamstring (DNP)
5319,2004-04-12,Hawks,,Wesley Person,strained right hip flexor (DNP)
5320,2004-04-12,Hornets,,Darrell Armstrong,sprained right ankle (DNP)
5321,2004-04-12,Kings,,Bobby Jackson,sore abdominal (DNP)
5322,2004-04-12,Knicks,,Anfernee Hardaway,stomach virus (DNP)
5323,2004-04-12,Pistons,,Chauncey Billups,sprained left ankle (DNP)
5324,2004-04-12,Pistons,,Rasheed Wallace,sore left arch (DNP)
5325,2004-04-12,Pistons,,Zeljko Rebraca,sore lower back (DNP)
5326,2004-04-12,Rockets,,Cuttino Mobley,left shoulder injury (DNP)
5327,2004-04-12,Rockets,,Steve Francis,left elbow inflammation (DNP)
5328,2004-04-12,Wizards,,Jerry Stackhouse,sore right ankle (DNP)
5329,2004-04-12,Wizards,,Kwame Brown,sore left foot (DNP)
5330,2004-04-13,Clippers,,Corey Maggette,strained right hamstring (DNP)
5331,2004-04-13,Lakers,,Rick Fox,dislocated right thumb (DNP)
5332,2004-04-13,Pistons,,Rasheed Wallace,strained left arch (DNP)
5333,2004-04-13,Raptors,,Milt Palacio,swollen left knee (DNP)
5334,2004-04-13,Suns,,Howard Eisley,recovering from surgery to repair hernia (DNP)
5335,2004-04-13,Suns,,Jahidi White,bone bruise in right knee (DNP)
5336,2004-04-13,Suns,,Jake Voskuhl,plantar fasciaitis in left foot (DNP)
5337,2004-04-13,Warriors,,Avery Johnson,strained right hamstring (DNP)
5338,2004-04-13,Warriors,,Troy Murphy,bruised right lung (DNP)
5339,2004-04-14,76ers,,Allen Iverson,right knee injury (DNP)
5340,2004-04-14,76ers,,Marc Jackson,stress fracture in left foot (DNP)
5341,2004-04-14,Bulls,,Antonio Davis,sprained right knee (DNP)
5342,2004-04-14,Bulls,,Jerome Williams,right hamstring injury (DNP)
5343,2004-04-14,Bulls,,Tyson Chandler,sore lower back (DNP)
5344,2004-04-14,Clippers,,Corey Maggette,strained right hamstring (DNP)
5345,2004-04-14,Hawks,,Jacque Vaughn,strained left hamstring (DNP)
5346,2004-04-14,Hawks,,Wesley Person,strained right hip flexor (DNP)
5347,2004-04-14,Hornets,,Darrell Armstrong,sprained right ankle (DNP)
5348,2004-04-14,Kings,,Bobby Jackson,sore abdominal (DNP)
5349,2004-04-14,Magic,,Zaur Pachulia,bruised right elbow (DNP)
5350,2004-04-14,Nets,,Brian Scalabrine,strained left hamstring (DNP)
5351,2004-04-14,Pacers,,Reggie Miller,DNP
5352,2004-04-14,Pacers,,Ron Artest,DNP
5353,2004-04-14,Pistons,,Zeljko Rebraca,sore lower back (DNP)
5354,2004-04-14,Raptors,,Milt Palacio,left knee injury (DNP)
5355,2004-04-14,Suns,,Howard Eisley,recovering from surgery to repair hernia (DNP)
5356,2004-04-14,Suns,,Jahidi White,bone bruise in right knee (DNP)
5357,2004-04-14,Suns,,Jake Voskuhl,plantar fasciaitis in left foot (DNP)
5358,2004-04-14,Warriors,,Avery Johnson,strained right hamstring (DNP)
5359,2004-04-14,Warriors,,Craig Claxton,strained right groin (DNP)
5360,2004-04-14,Warriors,,Troy Murphy,bruised right lung (DNP)
5361,2004-04-14,Wizards,,Jerry Stackhouse,sore right ankle (DNP)
5362,2004-04-14,Wizards,,Kwame Brown,sore left foot (DNP)
5363,2004-04-15,Timberwolves,,Troy Hudson,surgery on right ankle (date approximate)
5364,2004-04-17,Knicks,,Allan Houston,knee injury (DNP)
5365,2004-04-17,Spurs,,Devin Brown,rib injury (DNP)
5366,2004-04-18,Kings,,Bobby Jackson,strained abdominal (DNP)
5367,2004-04-20,Kings,,Bobby Jackson,strained abdominal (DNP)
5368,2004-04-20,Knicks,,Allan Houston,knee injury (DNP)
5369,2004-04-20,Knicks,,Tim Thomas,lower back & ankle injuries (DNP)
5370,2004-04-22,Knicks,,Tim Thomas,bruised lower back (DNP)
5371,2004-04-23,Lakers,,Stanislav Medvedenko,strained right Achilles tendon (DNP)
5372,2004-04-24,Kings,,Bobby Jackson,strained abdominal (DNP)
5373,2004-04-25,Knicks,,Tim Thomas,bruised lower back (DNP)
5374,2004-04-26,Kings,,Bobby Jackson,strained abdominal (DNP)
5375,2004-04-26,Timberwolves,,Wally Szczerbiak,3 cracked vertebrae (left game)
5376,2004-04-27,Nuggets,,Rodney White,sprained left ankle (DNP)
5377,2004-04-27,Timberwolves,,Wally Szczerbiak,3 cracked vertebrae (DNP)
5378,2004-04-29,Kings,,Bobby Jackson,strained abdominal (DNP)
5379,2004-04-30,Nuggets,,Carmelo Anthony,sprained left knee (DNP)
5380,2004-04-30,Timberwolves,,Wally Szczerbiak,3 cracked vertebrae (DNP)
5381,2004-05-04,Kings,,Bobby Jackson,strained abdominal (DNP)
5382,2004-05-04,Timberwolves,,Wally Szczerbiak,3 cracked vertebrae (DNP)
5383,2004-05-06,Bucks,,T.J. Ford,surgery on bruised spinal cord
5384,2004-05-08,Timberwolves,,Wally Szczerbiak,3 cracked vertebrae (DNP)
5385,2004-05-10,Kings,,Bobby Jackson,strained abdominal (DNP)
5386,2004-05-10,Timberwolves,,Wally Szczerbiak,3 cracked vertebrae (DNP)
5387,2004-05-12,Kings,,Bobby Jackson,strained abdominal (DNP)
5388,2004-05-12,Timberwolves,,Wally Szczerbiak,3 cracked vertebrae (DNP)
5389,2004-05-14,Kings,,Bobby Jackson,strained abdominal (DNP)
5390,2004-05-15,Pacers,,Fred Jones,strained left shoulder (DNP)
5391,2004-05-16,Kings,,Bobby Jackson,strained abdominal (DNP)
5392,2004-05-19,Kings,,Bobby Jackson,strained abdominal (DNP)
5393,2004-05-27,Clippers,,Elton Brand,surgery on left knee and right ring finger
5394,2004-05-29,Timberwolves,,Sam Cassell,back spasms (DNP)
5395,2004-05-31,Timberwolves,,Sam Cassell,back spasms (DNP)
5396,2004-06-03,Knicks,,Kurt Thomas,surgery on little finger on right hand
5397,2004-06-15,Lakers,,Karl Malone,sprained ligament in right knee (DNP)
5398,2004-06-15,Timberwolves,,Sam Cassell,surgery on hip to repair torn cartilage
5399,2004-06-17,Pistons,,Darko Milicic,surgery on broken hand
5400,2004-07-01,Lakers,,Karl Malone,arthroscopic surgery on right knee
5401,2004-07-01,Nets,,Jason Kidd,surgery on left knee
5402,2004-07-09,Grizzlies,,Troy Bell,surgery on left knee to repair torn laterael meniscus
5403,2004-07-13,Lakers,,Devean George,surgery on left ankle to remove bone spurs/fragments and tighten ligaments (out ~4 months)
5404,2004-07-13,Pacers,,Fred Jones,surgery on left shoulder (out 18 weeks)
5405,2004-07-21,Warriors,,Mickael Pietrus,surgery on dislocated left shoulder
5406,2004-07-30,Blazers,,Viktor Khryapa,surgery on left foot to have 4 screws inserted (out 1 year)
5407,2004-08-02,Wizards,,Kwame Brown,broken bone in right foot
5408,2004-08-03,Wizards,,Kwame Brown,surgery on broken bone in right foot)
5409,2004-09-21,Rockets,,Bob Sura,surgery on lower back to repair herniated disc
5410,2004-09-21,Wizards,,Steve Blake,surgery on right ankle to remove chipped bone
5411,2004-09-24,Kings,,Doug Christie,plantar fasciaitis in left foot (out 4+ weeks)
5412,2004-09-27,Hornets,,Jamal Mashburn,player announced that he will miss entire 04-05 season due to continued recovery from worn out cartilage in right knee
5413,2004-09-29,Clippers,,Kerry Kittles,right knee rehabilitation (out ~4 weeks)
5414,2004-10-03,Kings,,Greg Ostertag,broken right hand (out 4-6 weeks)
5415,2004-10-07,Pacers,,Anthony Johnson,fractured right hand (out indefinitely)
5416,2004-10-16,Hawks,,Chris Crawford,"torn ACL, sprained MCL, and torn cartilage in right knee (out for season)"
5417,2004-10-22,Bucks,,Zendon Hamilton,arthroscopic surgery on right knee (out ~6 weeks)
5418,2004-10-26,Pacers,,Jeff Foster,arthroscopic surgery on hip (out 4-6 weeks) (date approximate)
5419,2004-10-29,Pacers,,Reggie Miller,broken bone in left hand (out 4-6 weeks)
5420,2004-10-30,Sonics,,Vitaly Potapenko,broken right ring finger (out ~6 weeks)
5421,2004-11-02,Kings,,Doug Christie,plantar fasciaitis in left foot (DNP)
5422,2004-11-02,Nuggets,,Voshon Lenard,torn left Achilles tendon (out for season)
5423,2004-11-03,Blazers,,Joel Przybilla,sprained left ankle (DNP)
5424,2004-11-03,Pacers,,Jermaine O'Neal,sore left foot (DNP)
5425,2004-11-03,Pistons,,Larry Brown,head coach underwent surgery on left hip (out 7-10 days)
5426,2004-11-03,Sonics,,Danny Fortson,strained back (DNP)
5427,2004-11-04,Nuggets,,Nene,strained left hamstring (DNP)
5428,2004-11-05,76ers,,Kedrick Brown,flu-like symptoms (DNP)
5429,2004-11-05,Blazers,,Joel Przybilla,sprained left ankle (DNP)
5430,2004-11-05,Hawks,,Jason Collier,bronchitis (DNP)
5431,2004-11-05,Pacers,,Jonathan Bender,sore right knee (DNP)
5432,2004-11-05,Pistons,,Darko Milicic,sprained right ankle (DNP)
5433,2004-11-06,76ers,,Kedrick Brown,flu-like symptoms (DNP)
5434,2004-11-06,Bucks,,Marcus Fizer,knee injury (out 4-6 weeks)
5435,2004-11-06,Knicks,,Anfernee Hardaway,hamstring injury (DNP)
5436,2004-11-06,Nuggets,,Nene,strained left hamstring (DNP)
5437,2004-11-06,Pacers,,Jonathan Bender,sore right knee (DNP)
5438,2004-11-06,Pacers,,Scot Pollard,strained back muscle (DNP)
5439,2004-11-06,Pistons,,Darko Milicic,sprained right ankle (DNP)
5440,2004-11-07,Hawks,,Jason Collier,bronchitis (DNP)
5441,2004-11-08,Bobcats,,Theron Smith,surgery on right knee to repair cartilage damage (out 6+ weeks)
5442,2004-11-08,Nuggets,,Nene,strained left hamstring (DNP)
5443,2004-11-08,Nuggets,,Voshon Lenard,surgery to repair torn left Achilles tendon
5444,2004-11-08,Nuggets,,Voshon Lenard,torn left Achilles tendon (DNP)
5445,2004-11-08,Pistons,,Darko Milicic,sprained right ankle (DNP)
5446,2004-11-08,Warriors,,Craig Claxton,bruised right thigh (DNP)
5447,2004-11-09,76ers,,Samuel Dalembert,strained right hamstring (DNP)
5448,2004-11-09,Blazers,,Joel Przybilla,sprained left ankle (DNP)
5449,2004-11-09,Grizzlies,,James Posey,sprained left foot (DNP)
5450,2004-11-09,Nets,,Ron Mercer,swollen left knee (DNP)
5451,2004-11-09,Nets,,Travis Best,sprained left ankle (DNP)
5452,2004-11-09,Nuggets,,Nene,strained left hamstring (DNP)
5453,2004-11-09,Nuggets,,Voshon Lenard,torn left Achilles tendon (DNP)
5454,2004-11-09,Pacers,,Jonathan Bender,sore right knee (DNP)
5455,2004-11-09,Timberwolves,,Fred Hoiberg,back spasms (DNP)
5456,2004-11-10,76ers,,Samuel Dalembert,strained right hamstring (DNP)
5457,2004-11-10,Blazers,,Joel Przybilla,sprained left ankle (DNP)
5458,2004-11-10,Bobcats,,Brevin Knight,sprained left wrist (DNP)
5459,2004-11-10,Bobcats,,Melvin Ely,left foot injury (DNP)
5460,2004-11-10,Bobcats,,Tamar Slay,flu-like symptoms (DNP)
5461,2004-11-10,Bucks,,Zaur Pachulia,sore right foot (DNP)
5462,2004-11-10,Grizzlies,,James Posey,sprained left foot (DNP)
5463,2004-11-10,Magic,,Cuttino Mobley,strained right groin (DNP)
5464,2004-11-10,Magic,,Kelvin Cato,sprained right ankle (DNP)
5465,2004-11-10,Nets,,Ron Mercer,left knee injury (DNP)
5466,2004-11-10,Nets,,Travis Best,sprained left ankle (DNP)
5467,2004-11-10,Pacers,,Jonathan Bender,flu-like symptoms (DNP)
5468,2004-11-10,Pacers,,Scot Pollard,sore lower back (DNP)
5469,2004-11-10,Suns,,Leandro Barbosa,sprained right ankle (DNP)
5470,2004-11-10,Wizards,,Jared Jeffries,broken nose (DNP)
5471,2004-11-11,Hornets,,Rodney Rogers,sprained left knee (out 4-6 weeks)
5472,2004-11-11,Nuggets,,Nene,strained left hamstring (DNP)
5473,2004-11-11,Rockets,,Tracy McGrady,strained right hip (DNP)
5474,2004-11-12,Bobcats,,Brevin Knight,sprained left wrist (DNP)
5475,2004-11-12,Bobcats,,Melvin Ely,left foot injury (DNP)
5476,2004-11-12,Lakers,,Stanislav Medvedenko,bruised right heel (DNP)
5477,2004-11-12,Magic,,Cuttino Mobley,strained right groin (DNP)
5478,2004-11-12,Magic,,Kelvin Cato,sprained right ankle (DNP)
5479,2004-11-12,Pacers,,Fred Jones,sore right quadricep (DNP)
5480,2004-11-12,Pacers,,Jonathan Bender,flu-like symptoms (DNP)
5481,2004-11-12,Pacers,,Scot Pollard,sore lower back (DNP)
5482,2004-11-13,Bobcats,,Brevin Knight,sprained left wrist (DNP)
5483,2004-11-13,Bobcats,,Melvin Ely,left foot injury (DNP)
5484,2004-11-13,Bucks,,Zaur Pachulia,sore right foot (DNP)
5485,2004-11-13,Hornets,,Baron Davis,strained lower back (DNP)
5486,2004-11-13,Lakers,,Stanislav Medvedenko,bruised right heel (DNP)
5487,2004-11-13,Pacers,,Fred Jones,sore right quadricep (DNP)
5488,2004-11-13,Pacers,,Jonathan Bender,sore right knee (DNP)
5489,2004-11-13,Pacers,,Scot Pollard,sore lower back (DNP)
5490,2004-11-13,Pistons,,Chauncey Billups,sprained right ankle (DNP)
5491,2004-11-13,Rockets,,Tracy McGrady,strained right hip (DNP)
5492,2004-11-13,Suns,,Jake Voskuhl,flu-like symptoms (DNP)
5493,2004-11-13,Warriors,,Adonal Foyle,DNP
5494,2004-11-14,Bucks,,Zaur Pachulia,sore right foot (DNP)
5495,2004-11-14,Magic,,Cuttino Mobley,strained right groin (DNP)
5496,2004-11-14,Magic,,Kelvin Cato,sprained right ankle (DNP)
5497,2004-11-14,Nuggets,,Marcus Camby,strained left hamstring (DNP)
5498,2004-11-14,Nuggets,,Nene,strained left hamstring (DNP)
5499,2004-11-15,Nets,,Ron Mercer,arthroscopic surgery on left knee (out 6-8 weeks)
5500,2004-11-16,Suns,,Leandro Barbosa,sprained right ankle (DNP)
5501,2004-11-17,Bucks,,Zaur Pachulia,sore right foot (DNP)
5502,2004-11-17,Magic,,Cuttino Mobley,strained right groin (DNP)
5503,2004-11-17,Nuggets,,Marcus Camby,strained left hamstring (DNP)
5504,2004-11-17,Nuggets,,Nene,strained left hamstring (DNP)
5505,2004-11-17,Pacers,,Scot Pollard,sore lower back (DNP)
5506,2004-11-17,Hornets,,Tim Pickett,flu-like symptoms (DNP)
5507,2004-11-18,Bobcats,,Jason Hart,sprained left ankle (DNP)
5508,2004-11-19,Bucks,,Zaur Pachulia,sore right foot (DNP)
5509,2004-11-19,Jazz,,Matt Harpring,bruised left knee (DNP)
5510,2004-11-19,Lakers,,Chris Mihm,gastro intestinal disorder (DNP)
5511,2004-11-19,Mavericks,,Dan Dickau,food poisoning (DNP)
5512,2004-11-19,Mavericks,,Erick Dampier,strained left hip flexor (DNP)
5513,2004-11-19,Mavericks,,Jason Terry,sprained right ankle (DNP)
5514,2004-11-19,Nuggets,,Nene,strained left hamstring (DNP)
5515,2004-11-19,Pacers,,Jonathan Bender,left knee injury (out ~6 weeks)
5516,2004-11-19,Pacers,,Jonathan Bender,sore right knee (DNP)
5517,2004-11-19,Pacers,,Scot Pollard,sore lower back (DNP)
5518,2004-11-20,Bobcats,,Jason Hart,sprained left ankle (DNP)
5519,2004-11-20,Grizzlies,,Pau Gasol,sprained right ankle (DNP)
5520,2004-11-20,Hornets,,Alex Garcia,strained left groin (DNP)
5521,2004-11-20,Jazz,,Matt Harpring,bruised left knee (DNP)
5522,2004-11-20,Magic,,Cuttino Mobley,strained right groin (DNP)
5523,2004-11-20,Pacers,,Jamaal Tinsley,bruised right wrist (DNP)
5524,2004-11-20,Pacers,,Jonathan Bender,sore right knee (DNP)
5525,2004-11-20,Pacers,,Scot Pollard,sore lower back (DNP)
5526,2004-11-20,Wizards,,Samaki Walker,strained lower back (DNP)
5527,2004-11-21,76ers,,Allen Iverson,bruised right elbow (DNP)
5528,2004-11-21,Bobcats,,Jason Hart,sprained left ankle (DNP)
5529,2004-11-21,Heat,,Malik Allen,back spasms (DNP)
5530,2004-11-22,Grizzlies,,Pau Gasol,sprained right ankle (DNP)
5531,2004-11-22,Hornets,,Alex Garcia,strained left groin (DNP)
5532,2004-11-22,Jazz,,Matt Harpring,bruised left knee (DNP)
5533,2004-11-22,Mavericks,,Dirk Nowitzki,sprained left ankle (DNP)
5534,2004-11-23,Hornets,,Alex Garcia,strained left groin (DNP)
5535,2004-11-23,Raptors,,Jalen Rose,bruised left quadricep (DNP)
5536,2004-11-23,Raptors,,Rafael Araujo,lower back spasms (DNP)
5537,2004-11-23,Rockets,,Charlie Ward,sore right knee (DNP)
5538,2004-11-23,Warriors,,Troy Murphy,bruised left knee (DNP)
5539,2004-11-23,Wizards,,Samaki Walker,lower back spasms (DNP)
5540,2004-11-24,Grizzlies,,Pau Gasol,sprained right ankle (DNP)
5541,2004-11-24,Grizzlies,,Stromile Swift,scratched left cornea (DNP)
5542,2004-11-24,Hawks,,Predrag Drobnjak,sprained right ankle (DNP)
5543,2004-11-24,Hawks,,Royal Ivey,sprained MCL in right knee (DNP)
5544,2004-11-24,Magic,,Cuttino Mobley,strained right groin (DNP)
5545,2004-11-25,Clippers,,Kerry Kittles,bruised right knee (DNP)
