Date,Team,Acquired,Relinquished,Notes
2016-02-09,Rockets,, Sam Dekker,sore lower back (DTD)
2016-02-09,Spurs,, Kyle Anderson,illness (DTD)
2016-02-09,Spurs,, Matt Bonner,strained left calf (DTD)
2016-02-10,76ers,, Nerlens Noel,right knee patella tendinitis (DTD)
2016-02-10,Bulls, Derrick Rose,,returned to lineup
2016-02-10,Magic,, Jason Smith,back spasms (DTD)
2016-02-10,Nets, Sergey Karasev,,returned to lineup
2016-02-10,Pistons,, Ersan Ilyasova,illness (DTD)
2016-02-10,Pistons,, Reggie Bullock,fractured nose (DTD)
2016-02-10,Pistons,, Reggie Jackson (Shon),illness (DTD)
2016-02-10,Pistons,, Spencer Dinwiddie,sore ankle (DTD)
2016-02-10,Spurs,, (William) Tony Parker,left ankle injury (DTD)
2016-02-10,Spurs, Kyle Anderson,,returned to lineup
2016-02-11,Hornets,, Michael Kidd-Gilchrist,torn labrum in right shoulder (out for season)
2016-02-11,Pelicans,, Tyreke Evans,surgery on right knee (out for season)
2016-02-16,Hawks,, Tiago Splitter,surgery on right hip (out for season) (date approximate)
2016-02-17,Heat,, Chris Bosh,blood clots (out for season)
2016-02-18,Bucks,, Jerryd Bayless,hyperextended knee (DTD)
2016-02-18,Celtics,, Kelly Olynyk,bruised right shoulder (DTD)
2016-02-18,Clippers,, Pablo Prigioni,illness (DTD)
2016-02-18,Hornets,, Spencer Hawes,strained lower back (DTD)
2016-02-18,Jazz, Trey Burke,,returned to lineup
2016-02-18,Spurs,, Kawhi Leonard,tightness in left calf (DTD)
2016-02-18,Spurs, (William) Tony Parker,,returned to lineup
2016-02-18,Timberwolves,, Nemanja Bjelica,sore/strained right foot (DTD)
2016-02-19,76ers, Nerlens Noel,,returned to lineup
2016-02-19,Bucks,, Jerryd Bayless,sprained left knee (DTD)
2016-02-19,Heat,, Dwyane Wade,sore left knee (DTD)
2016-02-19,Kings,, Marco Belinelli,tooth extraction (DTD)
2016-02-19,Kings,, Omri Casspi,wisdom tooth extraction (DTD)
2016-02-19,Kings, Ben McLemore,,returned to lineup
2016-02-19,Magic, Ersan Ilyasova,,returned to lineup
2016-02-19,Magic, Jason Smith,,returned to lineup
2016-02-19,Nuggets, Darrell Arthur,,returned to lineup
2016-02-19,Pacers,, C.J. Miles,illness (DTD)
2016-02-19,Pistons, Kentavious Caldwell-Pope,,returned to lineup
2016-02-19,Pistons, Reggie Bullock,,returned to lineup
2016-02-19,Pistons, Reggie Jackson (Shon),,returned to lineup
2016-02-19,Rockets,, Donatas Motiejunas,back injury (DTD)
2016-02-19,Suns,, Alex Len,sprained right ankle (DTD)
2016-02-19,Suns,, T.J. Warren,surgery on right foot to repair stress fracture (out for season) (date approximate)
2016-02-19,Timberwolves, Kevin Martin,,returned to lineup
2016-02-19,Rockets, Sam Dekker,,returned to lineup (CBC)
2016-02-19,Mavericks,, John Jenkins,undisclosed (DTD) (CBC)
2016-02-20,Clippers, Pablo Prigioni,,returned to lineup
2016-02-20,Warriors,, Andrew Bogut,strained right Achilles (DTD)
2016-02-21,Cavaliers,, Iman Shumpert,sprained left shoulder (DTD)
2016-02-21,Cavaliers,, Maurice Williams / Mo Williams,knee injury (DTD)
2016-02-21,Grizzlies,, Tony Allen,sore left knee (DTD)
2016-02-21,Mavericks, John Jenkins,,returned to lineup
2016-02-21,Pacers, C.J. Miles,,returned to lineup
2016-02-21,Suns,, Tyson Chandler,bruised right shoulder (DTD)
2016-02-21,Suns, Alex Len,,returned to lineup
2016-02-22,Heat, Dwyane Wade,,returned to lineup
2016-02-22,Pacers,, C.J. Miles,strained left calf (DTD)
2016-02-22,Pistons,, Anthony Tolliver,sprained MCL in right knee (DTD)
2016-02-22,Warriors, Andrew Bogut,,returned to lineup
2016-02-23,Grizzlies,, Marc Gasol,surgery on right foot to repair fracture (out for season)
2016-02-23,Kings, Marco Belinelli,,returned to lineup
2016-02-23,Kings, Omri Casspi,,returned to lineup
2016-02-23,Nuggets,, Jusuf Nurkic,knee injury (DTD)
2016-02-23,Pelicans,, Omer Asik,sprained right ankle (DTD)
2016-02-24,76ers,, T.J. McConnell,sprained right ankle (DTD)
2016-02-24,Bulls,, Derrick Rose,right hamstring tendinitis (DTD)
2016-02-24,Cavaliers, Maurice Williams / Mo Williams,,returned to lineup
2016-02-24,Pistons,, Stanley Johnson,sprained right shoulder (DTD)
2016-02-24,Spurs, Kawhi Leonard,,returned to lineup
2016-02-24,Heat,, Beno Udrih,torn plantar plate in right foot (DTD)
2016-02-24,Heat,, Beno Udrih,surgery on right foot to repair torn plantar plate (out for season) (date approximate)
2016-02-25,Cavaliers,, Maurice Williams / Mo Williams,left knee chondromalacia (DTD)
2016-02-25,Pelicans,, Bryce Dejean-Jones,fractured right wrist (surgery) (out for season)
2016-02-25,Rockets,, Clint Capela,sprained right ankle / foot (CBC) (DTD)
2016-02-25,Suns, Tyson Chandler,,returned to lineup
2016-02-26,76ers, T.J. McConnell,,returned to lineup
2016-02-26,Cavaliers,, Maurice Williams / Mo Williams,left knee injury (DTD)
2016-02-26,Cavaliers, Iman Shumpert,,returned to lineup
2016-02-26,Kings,, Rajon Rondo,right thumb tendinitis (DTD)
2016-02-27,Heat,, Beno Udrih,recovering from surgery on right foot to repair torn plantar plate (DTD)
2016-02-27,Heat,, Udonis Haslem,illness (DTD)
2016-02-27,Pelicans,, Anthony Davis,right big toe injury (DTD)
2016-02-28,76ers,, Hollis Thompson,upper respiratory infection (DTD)
2016-02-28,Bucks,, Steve Novak,sprained MCL in left knee (out for season)
2016-02-28,Cavaliers,, LeBron James,rest (DTD)
2016-02-28,Knicks,, Arron Afflalo,knee injury (DTD)
2016-02-28,Knicks,, Louis Amundson / Lou Amundson,upper respiratory illness (DTD)
2016-02-28,Raptors,, Kyle Lowry,rest (DTD)
2016-02-29,76ers,, Jahlil Okafor,bruised right shin (DTD)
2016-02-29,Bucks,, Michael Carter-Williams,patella tendinitis in left knee (DTD)
2016-02-29,Bucks, Jerryd Bayless,,returned to lineup
2016-02-29,Cavaliers,, Kevin Love,sore leg (DTD)
2016-02-29,Cavaliers, LeBron James,,returned to lineup
2016-02-29,Clippers,, Luc Richard Mbah a Moute / Luc Mbah a Moute,lacerated left eyelid (DTD)
2016-02-29,Kings,, Rudy Gay,strained right shoulder (DTD)
2016-02-29,Kings,, Seth Curry,sprained right foot (DTD)
2016-02-29,Kings, Rajon Rondo,,returned to lineup
2016-02-29,Heat, Beno Udrih,,returned to lineup
2016-03-01,Bulls, Derrick Rose,,returned to lineup
2016-03-01,Heat, Udonis Haslem,,returned to lineup
2016-03-01,Knicks, Arron Afflalo,,returned to lineup
2016-03-01,Warriors,, Stephen Curry,left ankle injury (DTD)
2016-03-02,76ers,, Elton Brand,gastroenteritis (DTD) (CBC)
2016-03-02,76ers, Hollis Thompson,,returned to lineup
2016-03-02,Bucks,, Michael Carter-Williams,patella tendinitis in left knee (DTD)
2016-03-02,Bulls,, Taj Gibson,strained right hamstring (DTD)
2016-03-02,Pelicans, Anthony Davis,,returned to lineup
2016-03-02,Raptors, Kyle Lowry,,returned to lineup
2016-03-02,Rockets, Clint Capela,,returned to lineup
2016-03-03,Kings, Rudy Gay,,returned to lineup
2016-03-03,Pelicans,, Alexis Ajinca / Alex Ajinca,fractured sternum (DTD)
2016-03-03,Warriors, Stephen Curry,,returned to lineup
2016-03-04,76ers,, Kendall Marshall,upper respiratory infection (DTD)
2016-03-04,76ers,, Nerlens Noel,bruised right knee (DTD)
2016-03-04,76ers, Elton Brand,,returned to lineup (CBC)
2016-03-04,Bucks,, Michael Carter-Williams,patella tendinitis in left knee (DTD)
2016-03-04,Lakers,, Jordan Clarkson,knee injury (DTD)
2016-03-04,Pacers,, Joe Young,knee injury (DTD)
2016-03-05,Bulls, Jimmy Butler,,returned to lineup
2016-03-05,Bulls, Taj Gibson,,returned to lineup
2016-03-05,Cavaliers, Kevin Love,,returned to lineup
2016-03-05,Kings,, Kosta Koufos,food poisoning (DTD)
2016-03-05,Knicks,, Kristaps Porzingis,bruised lower left leg (DTD)
2016-03-05,Lakers,, Anthony Brown,stress reaction in right foot (out for season)
2016-03-05,Pelicans, Omer Asik,,returned to lineup
2016-03-05,Spurs,, Danny Green,rest (DTD)
2016-03-06,Bucks,, Michael Carter-Williams,patella tendinitis in left knee (DTD)
2016-03-06,Lakers, Jordan Clarkson,,returned to lineup
2016-03-06,Nuggets, Jusuf Nurkic,,returned to lineup
2016-03-06,Pelicans,, Luke Babbitt,bruised left shin (DTD)
2016-03-06,Warriors,, Andre Iguodala,sore/tight left hamstring (DTD)
2016-03-07,Bucks,, Michael Carter-Williams,torn labrum in left hip (out for season)
2016-03-07,Bulls,, Jimmy Butler,strained/swollen left knee (DTD)
2016-03-07,Grizzlies,, Chris Andersen,left shoulder subluxation (DTD)
2016-03-07,Grizzlies,, Matt Barnes,hamstring injury (DTD)
2016-03-07,Grizzlies,, Mike Conley Jr.,left Achilles tendinitis (out for season)
2016-03-07,Grizzlies,, Zach Randolph,sore right knee (DTD)
2016-03-07,Grizzlies, Tony Allen,,returned to lineup
2016-03-07,Kings, Kosta Koufos,,returned to lineup
2016-03-07,Magic,, Nikola Vucevic,strained right groin (DTD)
2016-03-07,Pacers,, Lavoy Allen,sore left knee (DTD)
2016-03-07,Pelicans,, Eric Gordon,fractured right ring finger (out for season)
2016-03-07,Wizards,, Bradley Beal,sore hip (DTD)
2016-03-08,Bulls,, Bobby Portis,swollen eye (DTD)
2016-03-08,Knicks,, Lance Thomas,sprained MCL in left knee (out for season)
2016-03-08,Knicks, Kristaps Porzingis,,returned to lineup
2016-03-08,Lakers,, Kobe Bryant,sore right shoulder (DTD)
2016-03-08,Pelicans,, Eric Gordon,surgery to repair fractured right ring finger (out for season)
2016-03-08,Spurs,, (William) Tony Parker,bruised left toe (DTD)
2016-03-09,76ers, Kendall Marshall,,returned to lineup
2016-03-09,76ers, Nerlens Noel,,returned to lineup
2016-03-09,Bucks,, Michael Carter-Williams,recovering from surgery on left hip to repair torn labrum (out for season)
2016-03-09,Bucks,, O.J. Mayo,stomach virus (DTD)
2016-03-09,Cavaliers,, Timofey Mozgov,illness (DTD)
2016-03-09,Grizzlies,, Mario Chalmers,ruptured right Achilles tendon (out for season)
2016-03-09,Jazz,, Rodney Hood,sore lower back (DTD)
2016-03-09,Kings,, Ben McLemore,fractured right ring finger (DTD)
2016-03-09,Kings,, Marco Belinelli,back spasms (DTD)
2016-03-09,Knicks,, Arron Afflalo,strained right abdominal muscle (DTD)
2016-03-09,Pelicans,, Norris Cole (Gene),lower back injury (out for season)
2016-03-09,Pelicans, Luke Babbitt,,returned to lineup
2016-03-09,Suns, Brandon Knight,,returned to lineup
2016-03-10,Bucks,, Michael Carter-Williams,surgery on left hip to repair torn labrum (out for season)
2016-03-10,Cavaliers,, Kevin Love,left knee injury (DTD)
2016-03-10,Cavaliers, Timofey Mozgov,,returned to lineup
2016-03-10,Lakers, Kobe Bryant,,returned to lineup
2016-03-10,Spurs, (William) Tony Parker,,returned to lineup
2016-03-10,Bucks, O.J. Mayo,,returned to lineup
2016-03-10,Bucks,, O.J. Mayo,fractured right ankle (out for season)
2016-03-11,Bulls,, Derrick Rose,strained left abductor (P) / adductor (CBC Y) (DTD)
2016-03-11,Clippers,, Paul Pierce,sore right big toe (DTD)
2016-03-11,Jazz, Rodney Hood,,returned to lineup
2016-03-11,Kings, Marco Belinelli,,returned to lineup
2016-03-11,Magic,, Elfrid Payton,sprained right elbow (DTD)
2016-03-11,Pistons, Anthony Tolliver,,returned to lineup
2016-03-11,Pistons, Stanley Johnson,,returned to lineup
2016-03-11,Timberwolves, Nemanja Bjelica,,returned to lineup
2016-03-12,76ers,, Jerami Grant,concussion (DTD)
2016-03-12,76ers,, Richaun Holmes,strained right Achilles tendon (DTD)
2016-03-12,76ers,, Robert Covington,concussion (DTD)
2016-03-12,Grizzlies,, Vince Carter,strained left calf (DTD)
2016-03-12,Hawks, (James) Mike Scott,,returned to lineup
2016-03-12,Heat,, Dwyane Wade,thigh injury (DTD)
2016-03-12,Magic,, Brandon Jennings,sore left Achilles (DTD)
2016-03-12,Pacers,, Ty Lawson,sprained left foot (DTD)
2016-03-12,Pacers, C.J. Miles,,returned to lineup
2016-03-12,Pacers, Lavoy Allen,,returned to lineup
2016-03-12,Rockets,, Sam Dekker,sore back (out for season)
2016-03-12,Warriors,, Andre Iguodala,sprained left ankle (DTD)
2016-03-13,Cavaliers, Kevin Love,,returned to lineup
2016-03-13,Clippers, Luc Richard Mbah a Moute / Luc Mbah a Moute,,returned to lineup
2016-03-13,Knicks,, Kristaps Porzingis,stomach illness/virus (DTD)
2016-03-13,Knicks, Arron Afflalo,,returned to lineup
2016-03-13,Nets,, Wayne Ellington,upper respiratory infection (DTD)
2016-03-13,Pacers,, Ty Lawson,sprained left foot (DTD)
2016-03-13,Pacers, Joe Young,,returned to lineup
2016-03-14,Bulls,, Mike Dunleavy Jr.,stomach virus (DTD)
2016-03-14,Bulls, Jimmy Butler,,returned to lineup
2016-03-14,Celtics,, Jae Crowder,sprained right ankle (DTD)
2016-03-14,Grizzlies,, Lance Stephenson,sprained right wrist (DTD)
2016-03-14,Heat, Dwyane Wade,,returned to lineup
2016-03-14,Jazz,, Gordon Hayward,plantar faciitis in right foot (DTD)
2016-03-14,Mavericks,, Jeremy Evans,right shoulder injury (DTD) (CBC Y)
2016-03-14,Nets,, Willie Reed,sore left knee (DTD)
2016-03-14,Nuggets,, Jusuf Nurkic,sore left knee (DTD)
2016-03-14,Hornets,, Spencer Hawes,strained lower back (DTD)
2016-03-15,Bucks, John Henson,,returned to lineup
2016-03-15,Lakers,, Brandon Bass,corneal abrasion in right eye (DTD)
2016-03-15,Magic, Brandon Jennings,,returned to lineup
2016-03-15,Nets, Wayne Ellington,,returned to lineup
2016-03-15,Pacers,, C.J. Miles,upper respiratory infection (DTD)
2016-03-15,Pacers,, Ty Lawson,sprained left foot (DTD)
2016-03-15,Raptors,, DeMar DeRozan,rest (DTD)
2016-03-15,Raptors,, Jonas Valanciunas,bruised left hand (DTD)
2016-03-16,Blazers,, Meyers Leonard,dislocated left shoulder (out for season)
2016-03-16,Bulls,, Cameron Bairstow,back injury (DTD)
2016-03-16,Bulls, Derrick Rose,,returned to lineup
2016-03-16,Bulls, Mike Dunleavy Jr.,,returned to lineup
2016-03-16,Cavaliers,, LeBron James,rest (DTD)
2016-03-16,Clippers, Paul Pierce,,returned to lineup
2016-03-16,Grizzlies, Lance Stephenson,,returned to lineup
2016-03-16,Kings,, Marco Belinelli,sore right ankle (DTD)
2016-03-16,Kings,, Rajon Rondo,sprained right thumb / sprained toe (CBC Y) (DTD)
2016-03-16,Knicks, Kristaps Porzingis,,returned to lineup
2016-03-16,Magic,, Ersan Ilyasova,sprained left knee (DTD)
2016-03-16,Pistons, Spencer Dinwiddie,,returned to lineup
2016-03-17,76ers, Jerami Grant,,returned to lineup
2016-03-17,Bulls,, Cameron Bairstow,back injury (DTD)
2016-03-17,Bulls,, E'Twaun Moore,left hamstring injury (DTD)
2016-03-17,Hawks,, Kent Bazemore,bone bruise in right knee (DTD)
2016-03-17,Knicks,, Tony Wroten Jr.,knee injury (out for season)
2016-03-17,Mavericks,, Jeremy Evans,arthroscopic surgery on right shoulder to repair torn labrum (out for season)
2016-03-17,Nuggets,, Kenneth Faried,sore lower back (DTD)
2016-03-17,Pacers, C.J. Miles,,returned to lineup
2016-03-17,Raptors, DeMar DeRozan,,returned to lineup
2016-03-17,Pacers,, Ty Lawson,sprained left foot (DTD) (P)
2016-03-17,Pacers, Ty Lawson,,returned to lineup
2016-03-18,Kings,, Omri Casspi,sore left ankle (DTD)
2016-03-18,Kings,, Willie Cauley-Stein,illness (DTD)
2016-03-18,Kings, Marco Belinelli,,returned to lineup
2016-03-18,Kings, Rajon Rondo,,returned to lineup
2016-03-18,Lakers, Brandon Bass,,returned to lineup
2016-03-18,Magic, Ersan Ilyasova,,returned to lineup
2016-03-18,Mavericks,, Chandler Parsons,sore right knee (out for season)
2016-03-18,Raptors,, Patrick Patterson,sore left ankle (DTD)
2016-03-19,Bulls,, Cameron Bairstow,back injury (DTD)
2016-03-19,Clippers,, Jeff Green,lacerated forehead (DTD)
2016-03-19,Grizzlies, Vince Carter,,returned to lineup
2016-03-19,Grizzlies, Zach Randolph,,returned to lineup
2016-03-19,Hawks, Kent Bazemore,,returned to lineup
2016-03-19,Hornets, Spencer Hawes,,returned to lineup
2016-03-19,Jazz, Gordon Hayward,,returned to lineup
2016-03-19,Nets,, Brook Lopez,virus (DTD)
2016-03-19,Nets, Willie Reed,,returned to lineup
2016-03-19,Pelicans,, Anthony Davis,left knee injury and torn labrum in left shoulder (out for season)
2016-03-19,Thunder,, Kyle Singler,sore lower back (DTD)
2016-03-19,Warriors,, Andrew Bogut,left foot / toe (CBC) injury (DTD)
2016-03-20,76ers,, Richaun Holmes,strained right Achilles tendon (DTD) (P)
2016-03-20,Kings, Omri Casspi,,returned to lineup
2016-03-20,Knicks,, Carmelo Anthony,migraine headache (DTD)
2016-03-20,Knicks,, Kevin Seraphin,sore left foot (DTD)
2016-03-20,Magic, Elfrid Payton,,returned to lineup
2016-03-20,Pelicans,, Ryan Anderson,left groin injury / sports hernia (out for season)
2016-03-20,Pelicans, Alexis Ajinca / Alex Ajinca,,returned to lineup
2016-03-20,Raptors, Jonas Valanciunas,,returned to lineup
2016-03-21,76ers,, Richaun Holmes,strained right Achilles tendon (DTD) (P)
2016-03-21,Cavaliers,, Kevin Love,illness (DTD)
2016-03-21,Kings, Willie Cauley-Stein,,returned to lineup
2016-03-22,76ers,, Jahlil Okafor,arthroscopic surgery on right knee to repair torn meniscus (out for season)
2016-03-22,Grizzlies, Chris Andersen,,returned to lineup
2016-03-22,Hornets,, Marvin Williams,sprained left ankle (DTD)
2016-03-22,Lakers,, Larry Nance Jr.,sore right knee (DTD)
2016-03-22,Nets, Brook Lopez,,returned to lineup
2016-03-23,76ers,, Kendall Marshall,gastroententis (DTD)
2016-03-23,76ers,, Nerlens Noel,bruised right knee (DTD)
2016-03-23,76ers, Robert Covington,,returned to lineup
2016-03-23,Bucks,, Steve Novak,sprained MCL in left knee (out for season) (P)
2016-03-23,Cavaliers, Kevin Love,,returned to lineup
2016-03-23,Clippers, Jeff Green,,returned to lineup
2016-03-23,Heat,, Luol Deng,sore left quadriceps (DTD)
2016-03-23,Kings,, DeMarcus Cousins,bruised right knee (DTD)
2016-03-23,Knicks, Carmelo Anthony,,returned to lineup
2016-03-23,Knicks, Kevin Seraphin,,returned to lineup
2016-03-23,Lakers, Larry Nance Jr.,,returned to lineup
2016-03-23,Pistons,, Kentavious Caldwell-Pope,illness (DTD)
2016-03-23,Pistons,, Reggie Bullock,illness (DTD)
2016-03-23,Raptors,, Kyle Lowry,sore right elbow (DTD)
2016-03-23,Spurs,, Kawhi Leonard,bruised right quadriceps (DTD)
2016-03-23,Suns,, Tyson Chandler,back spasms / sore back (DTD)
2016-03-23,Warriors, Andrew Bogut,,returned to lineup
2016-03-23,76ers, Richaun Holmes,,returned to lineup
2016-03-24,Bulls,, Pau Gasol,swelling in right knee (DTD)
2016-03-24,Pacers,, Paul George,bruised lower right leg (DTD)
2016-03-24,Pelicans,, Anthony Davis,surgery on left knee (out for season)
2016-03-24,Pelicans,, Jrue Holiday,left toe injury (DTD)
2016-03-25,Grizzlies,, Zach Randolph,sprained right ankle (DTD)
2016-03-25,Heat, Luol Deng,,returned to lineup
2016-03-25,Hornets, Marvin Williams,,returned to lineup
2016-03-25,Kings, DeMarcus Cousins,,returned to lineup
2016-03-25,Magic,, Ersan Ilyasova,sprained right SC joint / collarbone (DTD)
2016-03-25,Magic,, Victor Oladipo,sore right wrist (DTD)
2016-03-25,Mavericks,, Chandler Parsons,surgery on right knee to repair medial meniscus (out for season)
2016-03-25,Mavericks,, Deron Williams,strained left abdominal / sports hernia (DTD)
2016-03-25,Mavericks,, Dirk Nowitzki,rest (DTD)
2016-03-25,Pistons, Kentavious Caldwell-Pope,,returned to lineup
2016-03-25,Pistons, Reggie Bullock,,returned to lineup
2016-03-25,Raptors, Kyle Lowry,,returned to lineup
2016-03-25,Spurs,, Danny Green,rest (DTD)
2016-03-25,Spurs,, Patrick Mills / Patty Mills,rest (DTD)
2016-03-25,Suns,, Brandon Knight,upset stomach (DTD)
2016-03-25,Warriors,, Kevon Looney,right hip injury (out for season)
2016-03-26,76ers, Kendall Marshall,,returned to lineup
2016-03-26,Bulls, Pau Gasol,,returned to lineup
2016-03-26,Spurs,, (William) Tony Parker,rest (DTD)
2016-03-26,Spurs,, Emanuel Ginobili / Manu Ginobili,rest (DTD)
2016-03-26,Spurs,, LaMarcus Aldridge,rest (DTD)
2016-03-26,Suns,, Jon Leuer,upset stomach (DTD)
2016-03-26,Suns, Brandon Knight,,returned to lineup
2016-03-27,76ers,, Richaun Holmes,strained right Achilles tendon (out for season)
2016-03-27,Kings,, Marco Belinelli,sore right foot (out for season)
2016-03-27,Kings, Ben McLemore,,returned to lineup
2016-03-27,Warriors,, Shaun Livingston,rest (DTD)
2016-03-27,Wizards,, Alan Anderson,sore groin (DTD) (Y)
2016-03-27,Wizards,, Markieff Morris,strained right calf (DTD)
2016-03-28,76ers,, Jerami Grant,sore knee (DTD)
2016-03-28,Heat,, Goran Dragic,illness (DTD)
2016-03-28,Kings,, DeMarcus Cousins,rest (DTD)
2016-03-28,Kings,, Rajon Rondo,rest (DTD)
2016-03-28,Kings,, Rudy Gay,rest (DTD)
2016-03-28,Lakers,, Larry Nance Jr.,sore knee (DTD)
2016-03-28,Nuggets, Kenneth Faried,,returned to lineup
2016-03-28,Pelicans, Jrue Holiday,,returned to lineup
2016-03-28,Spurs,, David West,rest (DTD)
2016-03-28,Spurs, LaMarcus Aldridge,,returned to lineup
2016-03-28,Suns, Jon Leuer,,returned to lineup
2016-03-28,Suns, Tyson Chandler,,returned to lineup
2016-03-29,76ers,, Jerami Grant,bruised right knee (DTD)
2016-03-29,Bulls, E'Twaun Moore,,returned to lineup
2016-03-29,Clippers,, Paul Pierce,sprained right ankle (DTD)
2016-03-29,Hornets,, Jeremy Lin,sore lower back (DTD)
2016-03-29,Magic, Victor Oladipo,,returned to lineup
2016-03-29,Pelicans,, Alonzo Gee,torn right quadricep (out for season)
2016-03-29,Pelicans,, Jrue Holiday,fractured right interior orbital wall (out for season)
2016-03-29,Thunder,, Kevin Durant,rest (DTD)
2016-03-29,Warriors,, Brandon Rush,bruised right knee (DTD)
2016-03-29,Wizards, Markieff Morris,,returned to lineup
2016-03-30,Grizzlies, Zach Randolph,,returned to lineup
2016-03-30,Heat, Goran Dragic,,returned to lineup
2016-03-30,Kings, Rudy Gay,,returned to lineup
2016-03-30,Knicks,, Jose Calderon,bruised right quadriceps (out for season)
2016-03-30,Knicks,, Kristaps Porzingis,strained/sore right shoulder (out for season)
2016-03-30,Raptors,, Luis Scola,sore left knee (DTD)
2016-03-30,Spurs, (William) Tony Parker,,returned to lineup
2016-03-30,Spurs, Emanuel Ginobili / Manu Ginobili,,returned to lineup
2016-03-30,Suns,, Mirza Teletovic,upset stomach (DTD)
2016-03-30,Warriors, Brandon Rush,,returned to lineup
2016-03-31,Bulls,, Taj Gibson,bruised (P Y) / fractured (CBC) ribs (out for season)
2016-03-31,Clippers,, Chris Paul,rest (DTD)
2016-03-31,Clippers,, DeAndre Jordan,rest (DTD)
2016-03-31,Clippers,, J.J. Redick,rest (DTD)
2016-03-31,Magic, Ersan Ilyasova,,returned to lineup
2016-03-31,Nets,, Brook Lopez,rest (DTD)
2016-04-01,76ers, Jerami Grant,,returned to lineup
2016-04-01,Bucks,, Jerryd Bayless,hyperextended right knee (out for season)
2016-04-01,Celtics,, Jae Crowder,rest (DTD)
2016-04-01,Heat,, Dwyane Wade,sore neck (DTD)
2016-04-01,Hornets, Jeremy Lin,,returned to lineup
2016-04-01,Jazz,, Derrick Favors,sore right knee (DTD)
2016-04-01,Mavericks,, Raymond Felton,strained right groin (DTD)
2016-04-01,Nets,, Bojan Bogdanovic,rest (DTD)
2016-04-01,Suns,, Brandon Knight,sports hernia (out for season)
2016-04-01,Suns,, Jon Leuer,sprained right ankle (DTD)
2016-04-01,Suns, Mirza Teletovic,,returned to lineup
2016-04-02,76ers,, Hollis Thompson,upper respiratory infection (DTD)
2016-04-02,Kings,, Rajon Rondo,rest (DTD)
2016-04-02,Nuggets,, Darrell Arthur,sore knee (out for season)
2016-04-02,Raptors, Luis Scola,,returned to lineup
2016-04-02,Kings,, DeMarcus Cousins,rest (DTD)
2016-04-03,Bucks,, Khris Middleton,strained left thigh (DTD)
2016-04-03,Celtics,, Jordan Mickey,illness (DTD)
2016-04-03,Celtics, Jae Crowder,,returned to lineup
2016-04-03,Clippers, J.J. Redick,,returned to lineup
2016-04-03,Jazz, Derrick Favors,,returned to lineup
2016-04-03,Knicks,, Carmelo Anthony,rest (DTD)
2016-04-03,Mavericks, Raymond Felton,,returned to lineup
2016-04-03,Nets,, Donald Sloan,upper respiratory infection (DTD)
2016-04-03,Warriors,, Andrew Bogut,rib injury (DTD)
2016-04-03,Grizzlies,, P.J. Hairston,strained left groin (DTD)
2016-04-04,Spurs,, Boris Diaw,sore right adductor (DTD)
2016-04-05,76ers, Hollis Thompson,,returned to lineup
2016-04-05,76ers, Nerlens Noel,,returned to lineup
2016-04-05,Celtics,, Evan Turner,eye injury (DTD)
2016-04-05,Heat, Dwyane Wade,,returned to lineup
2016-04-05,Kings,, Darren Collison,rest (DTD)
2016-04-05,Kings,, Kosta Koufos,rest (DTD)
2016-04-05,Kings,, Rudy Gay,rest (DTD)
2016-04-05,Kings, DeMarcus Cousins,,returned to lineup
2016-04-05,Suns,, Jon Leuer,sprained right ankle (DTD)
2016-04-05,Warriors, Andrew Bogut,,returned to lineup
2016-04-05,Celtics, Jordan Mickey,,returned to lineup
2016-04-06,Clippers,, Jamal Crawford,rest (DTD)
2016-04-06,Nets, Donald Sloan,,returned to lineup
2016-04-06,Thunder,, Kevin Durant,rest (DTD)
2016-04-06,Thunder,, Nazr Mohammed,rest (DTD)
2016-04-06,Thunder,, Russell Westbrook,rest (DTD)
2016-04-06,Thunder,, Serge Ibaka,rest (DTD)
2016-04-06,Clippers,, Wesley Johnson / Wes Johnson,foot injury (DTD)
2016-04-07,Hawks,, Kent Bazemore,right knee injury (DTD)
2016-04-07,Kings,, DeMarcus Cousins,rest (DTD)
2016-04-07,Kings,, Rajon Rondo,rest (DTD)
2016-04-07,Kings, Darren Collison,,returned to lineup
2016-04-07,Kings, Kosta Koufos,,returned to lineup
2016-04-07,Kings, Rudy Gay,,returned to lineup
2016-04-07,Magic,, Aaron Gordon,concussion (DTD)
2016-04-07,Suns, Jon Leuer,,returned to lineup
2016-04-08,76ers,, Carl Landry,sore/strained lower back (out for season)
2016-04-08,76ers,, Isaiah Canaan,torn labrum in left shoulder (out for season)
2016-04-08,Cavaliers,, Maurice Williams / Mo Williams,left knee injury (DTD)
2016-04-08,Clippers,, Blake Griffin,rest (DTD)
2016-04-08,Clippers,, Chris Paul,rest (DTD)
2016-04-08,Clippers,, DeAndre Jordan,rest (DTD)
2016-04-08,Clippers,, J.J. Redick,rest (DTD)
2016-04-08,Grizzlies,, Jordan Adams,surgery on right knee (out indefinitely)
2016-04-08,Grizzlies, P.J. Hairston,,returned to lineup
2016-04-08,Nuggets,, Kenneth Faried,rest (DTD)
2016-04-08,Raptors,, Kyle Lowry,rest (DTD)
2016-04-08,Raptors,, Luis Scola,rest (DTD)
2016-04-08,Spurs,, (William) Tony Parker,rest (DTD)
2016-04-08,Spurs,, Danny Green,rest (DTD)
2016-04-08,Spurs,, Kawhi Leonard,rest (DTD)
